geometry_type,coord_x,coord_y,feature_type,cdns,certs_BREAAM,certs_EUcoc,certs_LEED,certs_Other,certs_UT_cert,certs_UT_level,clouds,company_name,construction_date,country,fibres,gross_max_power,id,ixps,m2,name,networks,readyForService,readyForService_dt,construction_date_dt,readyForService_dmy,construction_date_dmy
Point,-0.534538,44.7801649,Feature,[],,,,,,,[],Interoute,,France,[],,075491e3-b62b-11e5-ad0b-02b4d6763261,[],,Bordeaux,[],,,,,
Point,5.9740488,47.2259956,Feature,[],,,,,,,[],Neoclyde,,France,[],,06dace04-b62b-11e5-ad0b-02b4d6763261,[],,NeoCenter Besançon,[],,,,,
Point,6.130956,46.135197,Feature,[],,,,,,,[],Via-numerica,,France,[],,06da7fe5-b62b-11e5-ad0b-02b4d6763261,[],,Archamps,[],,,,,
Point,0.0918412,48.4420009,Feature,[],,,,,,,[],AZNetwork,,France,[],,0791c209-b62b-11e5-ad0b-02b4d6763261,[],,Alencon,[],,,,,
Point,7.0374252,43.6283225,Feature,[],,,,,,,[],TAS France,,France,[],1500.0,07105cf7-b62b-11e5-ad0b-02b4d6763261,[],500.0,Sophia Antipolis,[],,,,,
Point,6.165043,48.711211,Feature,[],,,,,0,1,[],Adista,,France,[],320.0,06dbdf80-b62b-11e5-ad0b-02b4d6763261,[],200.0,Nancy SJ2,[],,,,,
Point,6.165043,48.711211,Feature,[],,,,,0,1,[],Adista,,France,[],300.0,07887335-b62b-11e5-ad0b-02b4d6763261,[],300.0,Nancy SJ1,[],,,,,
Point,2.35189,48.928051,Feature,[],,,,,,,[],Reliance Communications Ltd.,,France,[],,06a2ce10-b62b-11e5-ad0b-02b4d6763261,[],,Reliance St. Denis,[],,,,,
Point,-2.7942981,48.5478229,Feature,[],,,,,,,[],Reliance Communications Ltd.,,France,[],,07889a42-b62b-11e5-ad0b-02b4d6763261,[],,Reliance Plerin,[],,,,,
Point,1.5096531,43.5426189,Feature,[],,,,,0,1,[],COVAGE,,France,[],,4aef6306-fdea-48ea-889b-8d28134e6f33,[],,Covage Labège,[],,,,,
Point,1.5220995,43.53993089999999,Feature,[],,,,,0,1,[],SICOVAL,,France,[],,f8447c75-d658-4699-9246-85524c16ae4f,[],,Sicoval Labège,[],,,,,
Point,1.5096009,43.5414394,Feature,[],,,,,0,1,[],IMS NETWORK,,France,[],,f3187751-85de-4eb7-a85c-885b5494f1ae,[],,IMS Network,[],,,,,
Point,1.529754,43.530582,Feature,[],,,,,,,[],FullSave,,France,[],,07c57c29-b62b-11e5-ad0b-02b4d6763261,[],,Hotel des Telecoms,[],,,,,
Point,2.2127813,48.6886854,Feature,[],,,,,,,[],Alionis,,France,[],,07472462-b62b-11e5-ad0b-02b4d6763261,[],,Alionis VBO,[],,,,,
Point,4.7714837,45.8061337,Feature,[],,,,,,,[],DCforData,,France,[],,06d92061-b62b-11e5-ad0b-02b4d6763261,[],,Limonest,[],,,,,
Point,2.155723572,51.01191866,Feature,[],,,,,0,1,[],OVH,,France,[],,074acde3-b62b-11e5-ad0b-02b4d6763261,[],,Gravelines 1,[],,,,,
Point,2.4078105,48.9251973,Feature,[],,,,,,,[],SEGRO (Slough Trading Estate),,France,[],,07903b75-b62b-11e5-ad0b-02b4d6763261,[],,Parc des Damiers,[],,,,,
Point,5.9740488,47.2259956,Feature,[],,,,,,,[],Euclyde Data Centers,,France,[],0.0,074f3ac3-b62b-11e5-ad0b-02b4d6763261,[],300.0,Besancon,[],,,,,
Point,4.8804838,45.7704769,Feature,[],,,,,,,[],Groupe elb Multimedia,,France,[],,07c702dc-b62b-11e5-ad0b-02b4d6763261,[],,Netissime,[],,,,,
Point,4.8717445,45.7718875,Feature,[],,,,,,,[],Groupe elb Multimedia,,France,[],,07c55536-b62b-11e5-ad0b-02b4d6763261,[],,Villeurbanne,[],,,,,
Point,4.8998106,45.758014,Feature,[],,,,,,,[],LaSoTel,,France,[],,07889a56-b62b-11e5-ad0b-02b4d6763261,[],,Villeurbanne,[],,,,,
Point,2.2393221,48.7747563,Feature,[],,,,,,,[],Kheops Organisation,,France,[],,074af4ff-b62b-11e5-ad0b-02b4d6763261,[],,Kheops Site du Plessis Robinson,[],,,,,
